标签,场次,总GMV,平均GMV,中位GMV,平均销量,零销售率
稀缺名额,11,192734,17521.272727272728,8520.0,7.090909090909091,0.09090909090909091
强折扣秒杀,29,429812,14821.103448275862,12950.0,5.793103448275862,0.06896551724137931
主题节日,24,323468,13477.833333333334,10440.0,5.208333333333333,0.125
学习礼包,27,333997,12370.25925925926,8073.0,4.851851851851852,0.14814814814814814
实物礼品,45,516512,11478.044444444444,8520.0,4.4,0.17777777777777778
礼品二选一,13,142867,10989.76923076923,11760.0,4.076923076923077,0.23076923076923078
阶梯价,19,196492,10341.684210526315,8520.0,3.9473684210526314,0.2631578947368421
加赠月数,28,286701,10239.32142857143,8021.5,3.857142857142857,0.21428571428571427
抽奖/盲盒,34,346511,10191.5,8271.5,3.8529411764705883,0.20588235294117646
1元抵扣,8,78463,9807.875,7920.0,3.75,0.125
