标签,场次,总GMV,平均GMV,中位GMV,平均销量,零销售率
阶梯价,6,84252.0,14042.0,10485.0,5.5,0.16666666666666666
礼品选择,20,232903.0,11645.15,10755.0,4.95,0.2
强折扣秒杀,64,623409.0,9740.765625,6265.0,3.859375,0.171875
加赠月数,32,293159.0,9161.21875,5858.0,3.28125,0.25
节日/节点,49,251413.0,5237.770833333333,2328.0,2.306122448979592,0.3469387755102041
抽奖/盲盒,116,586329.0,5098.51304347826,2680.0,2.2758620689655173,0.31896551724137934
1元预购/预约,10,47847.0,4784.7,1584.0,2.1,0.4
实物礼品,125,462488.67,3729.7473387096775,2280.0,1.536,0.392
稀缺名额,24,74776.0,3251.1304347826085,3250.0,1.8695652173913044,0.20833333333333334
预热/返场/冲刺,14,40686.0,3129.6923076923076,3137.0,2.1538461538461537,0.35714285714285715
课程种草/功能教育,67,155765.0,2324.8507462686566,738.0,1.4776119402985075,0.43283582089552236
